question,annotated
create relplot using hf x pressure y mass_flux col geometry hue author,create relplot using hf [param : x] pressure [param : y] mass_flux [param : col] geometry [param : hue] author
create seaborn scatterplot using penguins x bill_length_mm y bill_depth_mm hue island,create seaborn scatterplot [source : using] penguins [param : x] bill_length_mm [param : y] bill_depth_mm [param : hue] island
create scatterplot using data x bill_length_mm y bill_depth_mm,create scatterplot [token_remove : using data] [param : x] bill_length_mm [param : y] bill_depth_mm
create relplot using hf x pressure y x_e_out col geometry row author,create relplot [token_remove : using] hf [param : x] pressure [param : y] x_e_out [param : col] geometry [param : row] author
create seaborn kernel density plot using hf x x_e_out y pressure hue geometry,create seaborn kernel density plot [source : using] hf [param : x] x_e_out [param : y] pressure [param : hue] geometry
make scatterplot x flipper_length_mm y body_mass_g using penguins,make scatterplot [param : x] flipper_length_mm [param : y] body_mass_g [source : using] penguins
plot scatterplot x flipper_length_mm y body_mass_g using penguins hue sex,plot scatterplot [param : x] flipper_length_mm [param : y] body_mass_g [source : using] penguins [param : hue] sex
plot scatterplot x flipper_length_mm y body_mass_g using penguins hue sex,plot scatterplot [param : x] flipper_length_mm [param : y] body_mass_g [source : using] penguins [param : hue] sex
plot lineplot x flipper_length_mm y body_mass_g using penguins hue sex,plot lineplot [param : x] flipper_length_mm [param : y] body_mass_g [source : using] penguins [param : hue] sex
seaborn regression x bill_length_mm y bill_depth_mm using penguins hue sex,seaborn regression [param : x] bill_length_mm [param : y] bill_depth_mm [source : using] penguins [param : hue] sex
seaborn regression x bill_length_mm y bill_depth_mm col species hue sex using penguins,seaborn regression [param : x] bill_length_mm [param : y] bill_depth_mm [param : col] species [param : hue] sex [source : using] penguins
create seaborn relplot for penguins x bill_length_mm y bill_depth_mm col species,create seaborn relplot [source : for] penguins [param : x] bill_length_mm [param : y] bill_depth_mm [param : col] species
create relplot using penguins x bill_length_mm y bill_depth_mm col species hue sex,create relplot [source : using] penguins [param : x] bill_length_mm [param : y] bill_depth_mm [param : col] species [param : hue] sex
create seaborn boxplot for penguins y bill_length_mm x species hue island,create seaborn boxplot [source : for] penguins [param : y] bill_length_mm [param : x] species [param : hue] island
create seaborn violinplot for penguins x bill_length_mm y sex hue island,create seaborn violinplot [source : for] penguins [param : x] bill_length_mm [param : y] sex [param : hue] island
create seaborn residual plot using penguins x bill_length_mm y bill_depth_mm,create seaborn residual plot [source : using] penguins [param : x] bill_length_mm [param : y] bill_depth_mm
create histogram for penguins x bill_length_mm bw 30,create histogram [source : for] penguins [param : x] bill_length_mm [param : bw] 30
using data penguins produce a histogram plot using seaborn setting parameters x body_mass_g bw 10,[source : using data] penguins produce a histogram plot using seaborn [token_remove : setting parameters] [param : x] body_mass_g [param : bw] 10
setting data penguins create a seaborn histogram plot setting parameters x body_mass_g nbins 100,[token_remove : setting data] penguins create a seaborn histogram plot setting parameters [param : x] body_mass_g [param : nbins] 100
nbins 30,[param : nbins] 30
nbins 100,[param : nbins] 100
join inner,[param : join] inner
in penguins,[source : in] penguins
in data penguins,[token_remove : in data] penguins
popmean 10,[param : popmean] 10
col_wrap 2, [param : col_wrap] 2
1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10
1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10
1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10
1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10
create plotly violin plot using dataset penguins set parameters x columnA marginal_x box,create plotly violin plot [token_remove : using dataset] penguins [token_remove : set parameters] [param : x] columnA [param : marginal_x] box
with data penguins create a plotly violin plot define parameters x columnA marginal_x box, [token_remove : with data] penguins create a plotly violin plot [token_remove : define parameters] [param : x] columnA [param : marginal_x] box
create a bag of words model for text column review using data reviews ngram_range 1 2, create a bag of words model for text [subset : column] review [token_remove : using data] reviews [param : ngram_range] 1 2
create a bag of words model for text column sex using data penguins ngram_range 1 2, create a bag of words model for text [subset : column] sex [token_remove : using data] penguins [param : ngram_range] 1 2 
show missing data in column sex in penguins, show missing data in [subset : column] sex [source : in] penguins
show missing data in col sex in data penguins, show missing data in [param : col] sex [token_remove : in data] penguins
show missing data in all columns in penguins, show missing data in all [subset : columns] [source : in] penguins
generate the fourier transformation of columns A B C utilising data D, generate the fourier transformation of [subset : columns] A B C [source : utilising data] D
with data D visualise the fft for columns A B C, [token_remove : with data] D visualise the fft for [subset : columns] A B C
